Age group ,Population,At least one dose,At least one dose percent,Fully Vaccinated,Fully Vaccinated Percent,Additional Dose 1 Received Count,Additional Dose 1 Received Percent,Date
<2,70167,0,0,0,0,,,09/29/2021
2-11,389173,0,0,0,0,,,09/29/2021
12-15,176600,120447,68.2,106414,60.3,,,09/29/2021
16-24,433573,305948,70.6,270814,62.5,,,09/29/2021
25-34,448029,328063,73.2,293401,65.5,,,09/29/2021
35-44,427141,345181,80.8,315055,73.8,,,09/29/2021
45-54,476905,387484,81.2,363476,76.2,,,09/29/2021
55-64,513455,460711,89.7,437860,85.3,,,09/29/2021
65-74,352819,335420,95.1,319516,90.6,,,09/29/2021
75+,277425,250710,90.4,236937,85.4,,,09/29/2021
<2,70167,0,0,0,0,,,07/29/2021
2-11,389173,0,0,0,0,,,07/29/2021
12-15,176600,93997,53.2,78301,44.3,,,07/29/2021
16-24,433573,269925,62.3,236833,54.6,,,07/29/2021
25-34,448029,286402,63.9,259054,57.8,,,07/29/2021
35-44,427141,310813,72.8,285107,66.7,,,07/29/2021
45-54,476905,361816,75.9,340000,71.3,,,07/29/2021
55-64,513455,441669,86,420372,81.9,,,07/29/2021
65-74,352819,325481,92.3,312677,88.6,,,07/29/2021
75+,277425,244262,88,233495,84.2,,,07/29/2021
<2,70167,0,0,0,0,,,07/21/2021
2-11,389173,0,0,0,0,,,07/21/2021
12-15,176600,89825,50.9,75375,42.7,,,07/21/2021
16-24,433573,264614,61,232273,53.6,,,07/21/2021
25-34,448029,281841,62.9,254958,56.9,,,07/21/2021
35-44,427141,306729,71.8,280807,65.7,,,07/21/2021
45-54,476905,358582,75.2,329869,69.2,,,07/21/2021
55-64,513455,439120,85.5,410547,80,,,07/21/2021
65-74,352819,324414,91.9,309722,87.8,,,07/21/2021
75+,277425,243799,87.9,232372,83.8,,,07/21/2021
<2,70167,0,0,0,0,,,07/14/2021
2-11,389173,0,0,0,0,,,07/14/2021
12-15,176600,86922,49.2,71464,40.5,,,07/14/2021
16-24,433573,260570,60.1,227995,52.6,,,07/14/2021
25-34,448029,278732,62.2,251346,56.1,,,07/14/2021
35-44,427141,304076,71.2,277479,65,,,07/14/2021
45-54,476905,356626,74.8,327071,68.6,,,07/14/2021
55-64,513455,437663,85.2,408419,79.5,,,07/14/2021
65-74,352819,324079,91.9,308653,87.5,,,07/14/2021
75+,277425,243589,87.8,231805,83.6,,,07/14/2021
<2,70167,0,0,0,0,,,07/07/2021
2-11,389173,0,0,0,0,,,07/07/2021
12-15,176600,84096,47.6,68307,38.7,,,07/07/2021
16-24,433573,256462,59.2,224510,51.8,,,07/07/2021
25-34,448029,275706,61.5,248214,55.4,,,07/07/2021
35-44,427141,301264,70.5,274642,64.3,,,07/07/2021
45-54,476905,354523,74.3,324677,68.1,,,07/07/2021
55-64,513455,436102,84.9,406416,79.2,,,07/07/2021
65-74,352819,323365,91.7,307704,87.2,,,07/07/2021
75+,277425,243235,87.7,231194,83.3,,,07/07/2021
